#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_003809.2	8.036126	7.71226	7.941066	7.936912	7.867132	7.967422	8.020158	7.559426	8.089575	8.128324	7.527872	8.025148
XR_000915.1	6.607436	6.55066	6.612297	6.659582	6.609627	6.683269	6.699719	6.688562	6.637344	6.877954	6.584638	6.657626
NM_152760.2	6.666515	6.795629	6.785702	6.776829	6.88729	6.663389	6.908543	6.55008	6.949178	6.822891	6.912919	6.762205
XM_944877.1	7.176058	6.936469	7.017471	7.095745	7.034709	7.064847	6.986915	6.850429	6.883478	6.853839	6.899997	6.886346
XM_945867.1	6.797836	6.856185	6.714701	6.829763	6.752793	6.734138	6.624878	6.732622	6.792617	6.697994	6.693494	6.564769
NM_014368.2	7.655574	7.811102	7.847176	7.556485	7.844169	7.560367	7.784328	7.723643	7.747161	7.79287	7.806626	7.549932
NM_005686.2	6.835395	6.7677	6.726135	6.783881	6.604073	6.643257	6.989897	6.794663	7.149462	6.839571	6.71734	6.77302
XM_929011.1	6.757748	6.856185	6.673409	6.822847	6.653524	6.609821	6.747532	6.792937	6.712299	6.72154	6.59738	6.651041
NM_017863.2	6.625247	6.555145	6.402377	6.578085	6.554487	6.532444	6.559837	6.436151	6.462555	6.501027	6.527766	6.488945
NM_014425.2	6.783881	6.656512	6.717769	6.83734	6.725558	6.718525	6.562201	6.708459	6.660632	6.718695	6.653177	6.693413
NM_139055.1	6.559441	6.542493	6.613947	6.647379	6.920498	6.698254	6.568091	6.60834	6.472279	6.606419	6.555145	6.686661
NM_001011537.1	7.565563	7.656365	7.427699	7.333873	7.288681	7.388399	7.331241	7.519297	7.609099	7.203881	7.470527	7.316928
NM_015907.2	9.613172	10.307872	8.684924	10.69558	10.891258	9.395334	9.726472	9.68543	9.645583	9.368214	10.719124	9.076183
NM_001018009.1	6.609448	6.644016	6.673409	6.677185	6.533005	6.663389	6.666206	6.694978	6.682235	6.741002	6.60043	6.566756
NM_001009567.1	6.765483	6.501921	6.979913	7.073391	6.511411	6.838454	7.017362	6.605404	7.503797	7.431998	6.696094	6.935203
NM_012470.2	8.377234	8.354501	8.519049	8.201966	8.396759	8.277528	8.347756	8.299596	8.4621	8.247824	8.436653	8.454311
NM_173469.1	9.823822	9.584169	9.378164	10.319074	9.561759	9.487064	10.027239	9.867535	9.488197	9.869434	9.572527	9.507779
NM_001001891.1	6.884454	6.922926	6.86597	7.149722	6.894069	6.832046	6.937302	7.09412	7.134339	7.168865	7.066435	7.085961
NM_031486.1	7.419752	7.264138	7.206694	7.314818	7.362039	7.285478	7.384104	7.253494	7.228945	7.300973	7.31924	6.986261
NM_022785.2	6.726135	6.684499	6.583231	6.508666	6.791413	6.698254	6.605499	6.823796	6.601821	6.720314	6.772703	6.745079
NM_003045.3	9.525724	10.468453	9.266768	9.48423	10.194934	9.339086	9.594603	10.522625	9.30192	9.146362	10.101143	8.968714
NM_139182.1	6.449333	6.437763	6.382971	6.563701	6.533005	6.394161	6.491622	6.498707	6.430571	6.552097	6.448829	6.562876
NM_000666.1	7.389407	7.337295	7.434318	7.394596	7.495159	7.379182	7.549932	7.32422	7.340658	7.511508	7.355852	7.440742
NM_006947.2	8.668216	9.06399	8.348099	9.205836	8.95684	8.618648	8.692773	8.928923	8.405143	8.964999	9.176509	8.271674
NM_030943.1	6.664448	6.608802	6.57948	6.661962	6.494468	6.67827	6.616781	6.684763	6.509441	6.598111	6.621477	6.661872
NM_173481.2	6.639581	6.552193	6.737808	6.677185	6.767606	6.643257	6.654901	6.602742	6.63257	6.6812	6.647005	6.725294
NM_020389.1	6.621702	6.645821	6.52192	6.589397	6.544617	6.862684	6.526884	6.605404	6.546257	6.57017	6.762291	6.558547
NM_002208.3	9.469773	9.31452	9.488197	9.437657	9.270932	9.476641	9.617737	9.323821	9.38746	9.592941	9.191815	9.202247
NM_001001661.1	6.80016	6.81095	6.765483	6.99101	6.838102	6.700141	6.598204	6.779279	6.69264	6.640656	6.690653	6.723026
NM_175739.2	6.84701	7.011267	6.520362	6.579387	6.725558	6.632647	6.733389	6.748154	6.637344	6.576723	6.791294	6.777257
NM_003382.3	6.562972	6.714394	6.744676	6.703753	6.704225	6.532444	6.51785	6.611378	6.662191	6.55008	6.60043	6.426822
NM_152244.1	9.173502	9.052869	9.092561	9.031697	8.99147	8.836042	9.069151	8.91125	9.069151	9.22676	8.995737	9.126642
NM_015335.2	7.464218	7.620328	7.551978	7.410041	7.643366	7.135452	7.433934	7.365072	7.245748	7.436427	7.614183	7.375867
NM_003202.2	6.698848	6.621702	6.5645	6.63932	6.582333	6.730335	6.596552	6.528775	6.588837	6.563436	6.490901	6.591724
NM_030907.2	6.980024	6.76434	6.826787	6.91593	7.026712	6.873331	6.861073	6.87456	6.862416	6.850929	6.91851	6.680672
NM_017897.1	7.214346	7.316159	7.258508	7.482309	7.356028	7.462189	7.279056	7.290304	7.335615	7.273731	7.369712	7.348012
NM_153836.1	6.443868	6.614759	6.673409	6.518786	6.502429	6.597855	6.57177	6.623968	6.642996	6.639282	6.545032	6.544324
NM_001005613.1	6.603474	6.581356	6.503014	6.481423	6.511411	6.507179	6.52386	6.453862	6.553681	6.543067	6.492778	6.637969
NM_004709.2	6.642996	6.591724	6.586262	6.628872	6.653524	6.593765	6.661436	6.640754	6.574708	6.731535	6.645514	6.544324
NM_003918.1	6.610732	6.6633	6.819869	6.524063	6.635735	6.641565	6.681377	6.640754	6.556862	6.481376	6.450682	6.521023
NM_024840.2	6.676738	6.657626	6.473411	6.556106	6.705887	6.528353	6.626429	6.621386	6.561641	6.468536	6.635735	6.581181
NM_012448.3	8.670572	8.847028	8.673245	8.672029	8.737556	8.696997	8.561754	8.464293	8.437846	8.207735	8.443085	8.723211
NM_001010923.1	8.934986	9.207443	8.882289	9.291371	9.196244	9.096665	8.437168	8.478961	8.41725	8.428157	8.537182	8.31735
NM_005868.3	7.95941	8.306057	8.417895	8.351194	8.416126	8.187287	7.968317	8.216147	8.0962	8.006916	8.135324	8.04255
NM_017955.2	7.989982	8.308767	8.168726	8.018954	8.280947	8.091566	8.15579	8.286097	8.268671	7.977505	8.166168	8.143647
NM_006990.2	8.722446	8.196491	8.773796	8.314149	8.310445	8.425457	8.643276	8.354291	8.55646	8.954637	8.315104	8.779974
NM_177924.1	8.303401	7.634117	8.244092	8.352003	7.811211	8.384041	8.441681	8.222486	8.298211	8.514176	7.9633	8.52046
NM_016320.3	6.856224	6.705801	6.775281	6.936839	6.957045	6.844473	6.836243	6.984608	6.811861	6.986013	7.056685	6.946027
NM_138966.2	6.549424	6.630232	6.536306	6.645042	6.591949	6.618146	6.878031	6.55677	6.469448	6.437656	6.660452	6.529276
NM_001012975.1	6.831658	6.725129	6.703235	6.716229	6.876847	6.926623	6.74524	6.854725	6.765769	6.760958	6.744846	6.850106
NM_000623.2	6.566853	6.602273	6.703235	6.563701	6.595529	6.454974	6.516329	6.638316	6.700694	6.57017	6.478234	6.533005
NM_005122.2	6.545678	6.544228	6.676738	6.632828	6.597336	6.612938	6.621793	6.503354	6.44124	6.781821	6.575259	6.598204
NM_016358.1	6.708639	6.743927	6.499245	6.600618	6.746546	6.593765	6.650866	6.683355	6.705801	6.635735	6.588368	6.624336
NM_058178.1	6.858701	6.859584	6.957045	6.871507	6.830906	6.659746	6.79864	6.808801	6.810869	6.8444	6.825133	6.830562
NM_024588.3	7.470793	7.554584	7.438884	7.43184	7.309203	7.38703	7.417441	7.463612	7.539134	7.29996	7.424408	7.563182
NM_133443.1	6.939556	7.155065	7.077081	7.086354	7.024995	6.954295	6.996025	7.154746	7.183379	7.107698	7.108669	7.250823
NM_001513.2	6.627502	6.628589	6.573106	6.628872	6.648364	6.902179	6.59069	6.687312	6.591724	6.55706	6.718861	6.69083
NM_004584.2	7.748109	7.648589	7.892649	7.780976	7.61412	7.760984	7.897947	7.574919	7.931628	7.664534	7.701481	7.695956
NM_006482.1	6.729507	6.683151	6.881154	6.753125	6.843372	6.703753	6.663389	6.676915	6.796715	6.72154	6.806946	6.670524
NM_032137.3	6.618061	6.563653	6.55706	6.563701	6.624878	6.558397	6.496268	6.464631	6.396766	6.676132	6.603474	6.682977
NM_001033520.1	6.579016	6.603748	6.667624	6.694529	6.599042	6.695476	6.720314	6.650953	6.601821	6.598111	6.598996	6.708023
NM_015698.3	8.499228	8.543301	8.262092	8.575773	8.419165	8.359791	8.415891	8.471933	8.237362	8.40335	8.346912	8.377022
NM_001052.1	6.558397	6.481782	6.583231	6.675785	6.673145	6.783881	6.458971	6.527256	6.693892	6.791256	6.514467	6.702036
NM_006384.2	12.84921	12.6552	12.73183	12.63253	12.78144	12.46774	12.62237	12.64581	12.54505	12.69075	12.47546	12.55685
NM_020448.2	7.977661	7.778167	8.026547	7.936062	8.163184	8.051064	7.596215	7.719526	7.812387	7.642399	7.655638	8.038321
NM_012429.1	6.589677	6.457141	6.489496	6.583516	6.522599	6.583231	6.43807	6.518586	6.505001	6.661436	6.612572	6.499152
NM_004217.1	6.602375	6.590094	6.605313	6.529619	6.537958	6.595809	6.609821	6.486593	6.588837	6.630414	6.608157	6.583325
NM_138445.2	6.93582	6.819641	6.867669	6.87456	6.746546	6.715111	6.854875	6.762855	6.83329	6.960399	6.788345	6.835817
NM_182766.2	6.556862	6.673099	6.731183	6.439059	6.602179	6.566948	6.667706	6.572516	6.574708	6.599605	6.527766	6.426822
NM_002476.2	6.410733	6.50382	6.512298	6.533836	6.494468	6.556681	6.483164	6.571025	6.462555	6.579802	6.71734	6.663803
NM_004952.3	6.480053	6.444902	6.639053	6.594357	6.607809	6.551622	6.637747	6.442791	6.622058	6.646395	6.59738	6.574799
NM_032360.2	7.705227	7.464678	7.801103	7.696779	7.687926	7.631336	7.649416	7.468868	7.524066	7.476861	7.374712	7.734742
NM_018129.1	9.639247	9.305786	9.296995	10.134908	9.665569	9.163153	9.887463	9.199301	9.427252	9.53813	9.141579	9.060627
NM_006401.1	12.74911	12.68127	12.51144	13.18181	12.93555	12.6552	12.52165	12.57332	12.24286	12.34775	12.41955	12.36878
NM_152327.1	6.698081	6.668488	6.739409	6.654946	6.536306	6.668224	6.612479	6.697743	6.560108	6.421412	6.660452	6.587528
NM_002961.2	13.41696	12.8993	11.92054	12.89374	13.30927	11.87704	13.95533	13.51811	12.21837	13.44401	13.30062	11.93489
NM_176677.1	6.884454	6.850386	6.966679	6.902179	6.905123	6.885509	7.000361	6.996065	6.686407	6.877954	6.99101	6.874746
NM_144778.2	6.47864	6.542493	6.441789	6.632828	6.542588	6.591724	6.53112	6.731535	6.556862	6.702623	6.50994	6.556681
NM_021115.3	6.501027	6.457141	6.404374	6.579387	6.487783	6.446972	6.494666	6.476936	6.487079	6.33389	6.47016	6.515147
NM_030579.1	10.34771	10.09854	10.21045	10.86727	10.19574	10.16819	10.59513	10.30312	10.30741	10.2925	10.12927	10.274
NM_024621.1	6.512494	6.437763	6.513772	6.486972	6.731535	6.585103	6.536306	6.588643	6.467783	6.475829	6.452333	6.499152
NM_015613.1	6.573106	6.525423	6.57948	6.505992	6.615684	6.648152	6.537672	6.520362	6.576397	6.364569	6.418944	6.417846
NM_152362.1	8.149842	8.076629	8.172774	8.02786	8.030362	8.034624	8.039661	8.148027	8.044948	8.058695	7.831792	8.001008
NM_000878.2	10.0871	10.61509	10.35751	10.61291	10.75016	10.46637	10.50787	10.72681	11.07723	10.10787	10.28768	10.24986
NM_025188.2	6.982651	6.7677	6.938214	7.009914	7.026712	6.931712	7.029563	6.857715	6.891728	6.7677	6.931479	6.928808
NM_024633.2	7.39408	7.187218	7.155937	7.350031	7.380806	7.124019	7.414304	7.492393	7.365516	7.581464	7.451399	7.412692
NM_032947.3	7.030093	7.295031	7.280562	7.001317	7.464847	7.233255	6.973158	7.386178	7.42689	7.271611	7.414304	7.514961
NM_004536.1	6.726135	6.637792	6.545678	6.536787	6.534664	6.666556	6.915182	6.727487	6.763016	7.157187	6.665593	6.854574
NM_004766.1	9.567568	9.400529	9.3755	9.49107	9.534518	9.49107	9.60951	9.470761	9.46819	9.514464	9.628043	9.396182
NM_000302.2	9.959877	8.491808	8.664998	10.01918	8.706361	8.836779	9.901161	9.017814	9.613172	9.891116	8.91032	8.915234
NM_002021.1	6.513575	6.650775	6.598779	6.374277	6.527865	6.691853	6.502429	6.504809	6.464783	6.606419	6.448829	6.716314
NM_139244.2	8.090123	8.172116	8.184698	8.250154	7.979186	8.20559	8.097488	8.103043	8.356174	7.96956	8.066489	8.377714
NM_012434.3	6.819641	6.82408	6.844473	6.889924	6.709403	6.705604	6.916627	6.682066	6.869685	6.798418	6.822847	6.893047
NM_022443.2	6.585937	6.512595	6.558965	6.562473	6.614312	6.546437	6.552097	6.470571	6.56316	6.623436	6.59599	6.435167
NM_002859.1	6.948147	6.967875	7.333619	7.100364	6.779873	7.145485	7.102837	6.960399	7.064195	6.994586	7.055516	6.959869
NM_004890.1	8.488333	8.536641	8.618189	8.395093	8.70462	8.543144	8.393924	8.470011	8.664825	8.698436	8.841461	8.774549
NM_182830.2	6.436736	6.525423	6.487944	6.421907	6.633923	6.509059	6.397472	6.478338	6.540172	6.4556	6.412427	6.521023
NM_018961.2	6.610732	6.556681	6.620331	6.726979	6.515147	6.683269	6.606868	6.63428	6.617687	6.649622	6.581542	6.817185
NM_017954.8	6.642996	6.620148	6.538148	6.603191	6.590496	6.44211	6.558262	6.540515	6.665105	6.626933	6.549856	6.496645
NM_153221.1	6.626703	6.568091	6.713209	6.589397	6.47642	6.511015	6.516329	6.573846	6.635896	6.835699	6.725213	6.466462
NM_001004316.1	6.7198	6.747831	6.761778	6.709529	6.645042	6.838454	6.678103	6.839571	6.758234	6.754241	6.678749	6.718525
NM_032709.1	7.101628	6.802565	6.949221	6.89742	6.864514	6.794141	6.922926	6.739667	6.952222	6.750969	6.757748	6.668313
NM_139246.3	6.994586	7.123252	7.021145	7.089217	7.128541	7.041584	6.97108	7.056449	6.89856	6.939847	7.043886	7.009842
NM_181623.1	6.474718	6.660632	6.404374	6.616781	6.502429	6.472184	6.476578	6.427223	6.536494	6.437656	6.483784	6.517209
NM_052870.1	6.582433	6.717424	6.747986	6.820617	6.838102	6.688481	6.668925	6.656236	6.668097	6.801296	6.618146	6.77302
NM_177996.1	6.639581	6.773813	6.703235	6.603191	6.661872	6.737231	6.723846	6.627287	6.72072	6.553814	6.623068	6.554389
NM_021002.1	6.428895	6.474931	6.435067	6.447284	6.442739	6.46081	6.443553	6.552762	6.357727	6.470108	6.506977	6.386256
NM_004310.2	6.776419	6.869902	6.722681	6.857793	6.67158	6.852381	6.659746	6.749163	6.736885	6.917257	6.751969	6.682977
NM_001856.2	6.599333	6.642632	6.804082	6.746587	6.806372	6.646307	6.642091	6.571025	6.656105	6.55706	6.500834	6.661872
NM_178540.3	6.458971	6.457141	6.503014	6.514383	6.524508	6.44211	6.521023	6.458971	6.514467	6.45402	6.448829	6.47138
NM_001012968.1	7.739358	7.588526	7.539586	7.828033	7.444761	7.512037	7.718295	7.580555	7.452638	7.610558	7.381009	7.255716
NM_080860.2	6.574235	6.6633	6.588081	6.713499	6.661872	6.876551	6.506779	6.649449	6.654781	6.686407	6.638316	6.780983
NM_001034061.1	7.505861	7.185097	7.255716	7.634551	7.082119	7.396283	7.721219	7.40581	7.658523	7.900247	7.296869	7.669174
NM_001995.2	11.30669	12.60218	11.46083	11.33618	12.09357	11.1989	11.85991	12.62237	11.23122	12.07383	12.54505	10.73486
NM_017810.2	8.392768	8.386555	8.213006	8.55646	8.472805	8.295452	8.395523	8.387353	8.394316	8.276905	8.43052	8.228435
NM_032470.2	6.487584	6.515751	6.608802	6.575356	6.477945	6.588271	6.568091	6.568091	6.52386	6.358778	6.47016	6.562876
NM_003116.1	6.556862	6.53358	6.503014	6.632828	6.605981	6.52328	6.651997	6.439108	6.689785	6.541524	6.649888	6.617687
NM_001024855.1	6.673325	6.664539	6.670524	6.716229	6.65174	6.796873	6.756167	6.635774	6.525423	6.645042	6.675829	6.725294
NM_133458.1	9.697489	9.641616	9.748365	10.199885	9.734053	9.935358	9.836469	9.926766	9.856707	9.831884	9.773088	9.617737
NM_015585.2	6.52269	6.514425	6.555631	6.585103	6.666741	6.491283	6.582013	6.518586	6.604586	6.598111	6.558123	6.65967
NM_030768.2	8.886205	9.05724	8.677756	8.767551	9.055912	8.907319	8.733329	9.006653	8.687265	8.807196	8.915592	8.770939
NM_153838.1	6.440973	6.512595	6.421468	6.391502	6.509483	6.534382	6.63239	6.464631	6.569107	6.514277	6.519849	6.477858
NM_001001483.1	8.140656	8.121459	7.807817	7.904756	7.92781	7.819642	8.044437	8.034146	7.82153	7.884373	7.986789	7.826612
NM_024827.1	6.781943	6.684499	6.82851	6.881994	6.585652	6.888981	6.80717	6.904011	6.649972	6.867631	6.886309	6.835817
NM_020480.2	6.826131	6.743927	6.606968	6.672965	6.609627	6.716741	6.976918	6.531745	6.75023	6.894843	6.782275	6.635942
NM_001422.2	6.524063	6.678574	6.486184	6.561346	6.750969	6.56316	6.525315	6.528775	6.715111	6.672965	6.505445	6.619781
NM_001013675.1	6.520362	6.566384	6.515498	6.582013	6.51328	6.561443	6.447747	6.46101	6.709486	6.329602	6.619781	6.637969
NM_013310.3	6.744676	6.665811	6.469448	6.586411	6.731535	6.663389	6.587528	6.622514	6.676738	6.536306	6.625794	6.651041
NM_198723.1	6.534284	6.690396	6.644612	6.593309	6.515147	6.544617	6.721331	6.676915	6.561641	6.590044	6.545032	6.637969
NM_016338.3	8.56933	8.982614	8.391544	8.599621	8.771883	8.309958	8.478277	8.787412	8.45537	8.335337	8.81653	8.474203
NM_017738.1	7.034157	6.938657	6.964016	6.920532	7.143749	6.97712	6.912318	6.977811	6.893825	6.954295	7.110456	7.029563
NM_030929.3	6.602375	6.536688	6.584738	6.566384	6.447802	6.483328	6.476578	6.377889	6.63428	6.653089	6.630232	6.398731
NM_001014763.1	6.518976	6.536688	6.673409	6.439059	6.40628	6.632647	6.528258	6.514177	6.606148	6.573428	6.421	6.484679
NM_003367.2	6.881189	6.734138	7.02583	6.931325	7.159535	6.937131	7.023026	6.960399	6.926041	7.088008	6.952151	6.635942
NM_006667.2	9.461968	9.007861	9.54966	9.73827	9.257135	9.430886	9.416941	9.124092	9.520784	9.4836	9.118279	9.542081
XM_941168.1	9.051517	9.0729	8.984428	8.802757	9.114186	9.006653	8.553714	8.729452	8.471266	8.980724	8.799615	8.94048
NM_012409.2	6.419266	6.593765	6.588081	6.420376	6.492778	6.428895	6.612479	6.540515	6.462555	6.458971	6.392358	6.531161
NM_006951.3	7.485175	7.521746	7.529925	7.872373	7.357007	7.557106	7.664614	7.567239	7.570116	7.510059	7.463187	7.410543
NM_002736.2	6.639581	6.585844	6.536306	6.740586	6.641016	6.67827	6.634722	6.709486	6.6966	6.606419	6.511411	6.663803
NM_152358.2	6.53079	6.45176	6.404374	6.507179	6.487783	6.525036	6.419536	6.598204	6.383184	6.479663	6.444902	6.456942
NM_005295.1	6.591811	6.588643	6.595069	6.616781	6.579307	6.548073	6.558262	6.591589	6.619335	6.773225	6.625794	6.700185
NM_001006116.1	6.548073	6.534843	6.577897	6.686843	6.686038	6.375144	6.637747	6.475413	6.517708	6.676132	6.59738	6.496645
NM_001669.2	7.870887	7.69732	7.93257	7.585973	7.520584	7.535623	8.097488	7.675087	7.867301	7.546211	7.559581	8.029664
NM_013452.2	6.432135	6.647463	6.487944	6.334573	6.444496	6.332639	6.379072	6.46101	6.482782	6.601548	6.625794	6.558547
NM_001005279.1	6.450733	6.464783	6.462555	6.482978	6.533005	6.521416	6.532527	6.536306	6.601821	6.579802	6.497653	6.612938
NM_139238.1	6.568091	6.792937	6.7209	6.589397	6.609627	6.757872	6.624878	6.845143	6.531554	6.462944	6.99101	6.675917
NM_030920.2	6.716741	6.639497	6.639053	6.456367	6.635735	6.668224	6.710513	6.660817	6.612836	6.579802	6.512796	6.615494
NM_007027.2	8.581054	8.939274	8.874478	9.176707	8.672706	8.875997	8.867116	8.953607	8.772823	8.908281	8.806909	8.814608
NM_178471.1	7.258374	7.091618	7.282497	7.249282	7.077344	7.082056	7.050904	7.184678	7.233226	7.273731	7.110456	7.205436
NM_002239.2	6.428013	6.429627	6.492889	6.610125	6.725558	6.494666	6.58949	6.488096	6.677974	6.57177	6.564688	6.546257
NM_009589.2	6.831658	6.812412	6.768933	6.785022	6.682597	6.769177	6.722721	6.631212	6.864217	6.86253	6.895564	6.969028
NM_004319.1	6.526594	6.610262	6.589816	6.611457	6.62143	6.526786	6.546437	6.631212	6.546257	6.55008	6.651306	6.612938
NM_080752.2	6.779073	6.637792	6.870599	6.829763	6.605981	6.762855	6.681377	6.771936	6.731818	6.671306	6.757748	6.59599
NM_012256.2	8.515043	8.882522	8.500028	9.144475	8.550171	8.606326	8.732762	8.630432	8.586091	8.858381	8.709442	8.672169
NM_002612.2	8.329517	6.86193	7.651834	8.721772	6.8837	7.917441	8.631139	6.97301	8.103827	8.439287	6.864141	8.2153
XM_940045.1	6.541719	6.708639	6.492889	6.624251	6.642996	6.712299	6.686407	6.642177	6.387753	6.651306	6.531078	6.804082
NM_177433.1	7.187748	7.025339	7.022501	7.219416	7.104664	7.18795	6.9285	7.151748	7.000764	6.902358	6.9728	7.177965
NM_001032279.1	8.023599	7.983243	8.073414	7.516942	8.067812	7.828669	7.849819	8.036396	8.10123	8.034758	8.06178	8.095614
NM_001065.2	9.188334	8.920096	9.234599	9.114792	9.238501	9.003045	9.288397	9.019231	9.557727	9.471335	8.994531	9.490549
NM_000632.2	7.339022	7.052536	7.875263	7.565627	6.939677	7.59797	7.862106	7.309146	8.336882	7.682624	7.389627	7.665163
NM_033083.5	7.997696	8.558467	8.562123	8.185655	8.358283	8.455138	8.544674	8.77428	8.472805	8.418235	8.730965	8.453559
NM_001024943.1	6.686661	6.766538	6.716229	6.707272	6.614312	6.648152	6.691942	6.682066	6.608802	6.700994	6.766538	6.688733
NM_198316.1	6.579016	6.591724	6.558965	6.689444	6.781663	6.656598	6.506779	6.536306	6.654781	6.683108	6.598996	6.581181
NM_000765.2	6.587334	6.509158	6.616967	6.566384	6.62869	6.548073	6.421256	6.534664	6.772773	6.489582	6.788345	6.572669
NM_001001931.1	6.534284	6.606819	6.53089	6.652773	6.848464	6.546437	6.552097	6.558397	6.540172	6.536306	6.567702	6.678233
NM_001025199.1	6.917652	7.029227	7.148202	6.865853	6.966472	7.017362	6.786976	6.799453	6.981613	6.717424	6.988613	6.975644
NM_015512.3	8.417558	8.387978	8.028734	8.175245	8.097982	8.035835	8.306362	8.465423	8.55552	8.285621	8.379371	8.104909
NM_013280.4	6.494856	6.57242	6.560973	6.498146	6.646845	6.621702	6.61357	6.506085	6.515835	6.552097	6.609401	6.488945
NM_001008387.1	6.474718	6.613476	6.409092	6.450632	6.583786	6.570452	6.421256	6.42879	6.426822	6.566756	6.529518	6.460399
NM_016111.1	8.180718	8.16115	8.23717	8.044662	7.889346	8.162616	7.773136	8.037492	8.022299	7.955999	8.168525	8.404088
NM_033643.1	12.90419	12.97014	12.99938	11.71412	13.10878	12.95024	12.6552	12.64183	12.69652	12.51613	12.71683	12.82572
NM_018366.2	10.049121	9.782299	9.978449	9.885289	10.275033	9.968325	9.936694	9.840075	9.652744	10.019929	9.688957	9.765327
NM_005297.2	6.555434	6.561025	6.332639	6.657626	6.580992	6.541524	6.686407	6.575259	6.44908	6.541524	6.754566	6.426822
NM_015947.2	8.892583	8.727612	8.943085	8.542986	8.605557	8.491019	8.575539	8.538032	8.459853	8.509598	8.527793	8.680045
NM_001722.2	6.859706	6.95074	6.716229	6.805913	6.953145	6.823796	6.786976	6.911923	6.685018	6.760958	7.272146	6.729814
NM_016360.2	8.929179	9.19245	9.334529	9.228991	9.45426	9.203597	8.998647	9.104972	9.012906	8.954904	9.185763	9.194385
NM_006460.2	6.76667	6.729095	6.726135	6.838023	6.791413	6.829521	6.684029	6.768933	6.675164	6.9285	6.857864	6.757671
NM_001852.3	6.763174	6.694891	6.669199	6.50994	6.564858	6.720393	6.537672	6.683355	6.660632	6.65598	6.687979	6.714269
NM_024549.3	7.694783	7.647121	7.784428	7.620547	7.487119	8.034624	7.677149	7.746809	7.873578	7.659243	7.597112	7.849993
NM_130809.2	8.868659	8.968714	8.38675	9.247579	8.917906	8.743745	8.97851	8.836779	8.819838	9.016759	8.920354	8.497589
NM_000048.3	6.614312	6.485087	6.508352	6.450632	6.518686	6.565049	6.643302	6.640754	6.464783	6.57177	6.460614	6.521023
NM_015270.2	6.675697	6.527166	6.612297	6.708592	6.587528	6.637969	6.693324	6.558397	6.629996	6.621793	6.603474	6.626979
NM_000726.2	6.584738	6.620148	6.510539	6.44077	6.402914	6.541524	6.534843	6.658591	6.502429	6.470108	6.462144	6.511015
NM_213594.1	6.659044	6.76434	6.649622	6.565049	6.653524	6.585103	6.52386	6.707272	6.54923	6.704345	6.564688	6.560876
NM_145868.1	9.630547	9.171914	9.681429	9.611601	9.010703	9.559515	9.595176	9.39747	9.949867	9.730146	9.471637	9.890632
NM_001871.2	6.659044	6.678574	6.655399	6.732622	6.62143	6.648152	6.636072	6.690653	6.607436	6.699539	6.566384	6.824589
NM_152621.3	6.499786	6.460614	6.747986	6.736183	6.771223	6.742102	6.741707	6.773103	6.6966	6.749678	6.603474	6.817185
NM_006984.3	6.538148	6.69714	6.577897	6.450632	6.461415	6.643257	6.502429	6.45272	6.614127	6.553814	6.711192	6.482168
XM_929041.1	6.558397	6.542493	6.484779	6.443868	6.49943	6.579307	6.475209	6.548073	6.514467	6.601548	6.532527	6.566756
NM_213597.1	6.888303	6.690396	6.7209	6.8829	6.817657	6.727487	6.7792	7.041584	6.889613	6.779873	6.690653	6.602273
NM_030969.2	10.525907	10.511814	10.699155	10.5501	10.31801	10.46129	10.590015	10.307414	10.432546	10.206128	9.998438	10.304133
NM_001012509.1	6.755762	6.86077	6.657081	6.759411	6.590496	6.597855	6.615401	6.672809	6.814251	6.730095	6.525999	6.7209
NM_006500.2	6.54452	6.498551	6.505001	6.586411	6.642996	6.46696	6.508045	6.638316	6.55066	6.671306	6.514467	6.576774
NM_001010895.1	6.540562	6.517414	6.667624	6.651652	6.624878	6.575648	6.695735	6.496061	6.553681	6.63239	6.549856	6.533005
NM_000866.1	6.594495	6.556681	6.612297	6.527865	6.494468	6.478338	6.519174	6.488096	6.43807	6.596552	6.397417	6.409149
NM_017607.1	7.888442	7.798535	8.022299	7.529925	7.564346	7.885031	7.932684	7.861621	7.75318	7.627759	7.629495	7.683255
NM_022744.1	10.48704	10.49656	10.1821	10.77858	10.30883	10.38689	10.41983	10.4676	10.34061	10.39297	10.40193	10.29996
NM_201379.1	6.566853	6.606819	6.55706	6.558595	6.527865	6.635988	6.596552	6.548073	6.647379	6.666049	6.558123	6.615494
NM_001427.2	6.623068	6.773813	6.596826	6.575356	6.612938	6.474614	6.63239	6.502125	6.722301	6.612012	6.49933	6.515147
NM_001492.3	6.450733	6.520453	6.484779	6.520362	6.494468	6.457141	6.825061	6.58388	6.500834	6.392191	6.531078	6.58986
NM_001008565.1	6.493832	6.416329	6.384444	6.371468	6.446245	6.606506	6.502429	6.320381	6.394732	6.585292	6.503919	6.466462
NM_005619.3	8.579193	8.824852	8.851209	7.902496	8.945974	8.796556	8.418065	8.539696	8.443085	8.530431	8.66886	8.923888
