#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_138720.1	7.680975	7.602109	8.385708	7.406129	7.315972	7.971711	7.611616	7.531952	8.158943	7.885537	7.853648	8.442441
NM_006705.2	7.498718	8.816784	8.675295	7.567363	8.629184	8.498542	7.205436	8.276494	8.480937	7.821226	8.781949	8.419688
NM_020462.1	7.085247	7.464678	7.263123	7.02503	6.862646	7.271559	7.348396	7.355109	7.397238	7.543443	7.333013	6.931109
NM_020323.1	6.815079	6.668488	6.690579	6.666296	6.686038	6.683269	6.784619	6.808801	6.72072	6.847479	6.654694	6.615494
NM_003704.3	8.174074	8.107167	8.272217	7.746913	8.16115	8.022669	8.12872	7.973704	8.022299	8.038648	8.117124	7.898324
NM_024831.5	7.863834	7.906276	7.72274	7.746913	7.996753	7.714571	7.778026	7.98338	7.65696	7.819147	7.922996	7.761743
NM_015360.2	9.005496	9.106079	8.866932	9.005496	9.091087	8.998125	9.073044	9.122256	8.831991	8.791487	9.072451	8.811976
NM_133483.1	6.56049	6.512595	6.639053	6.489784	6.587528	6.624526	6.537672	6.528775	6.490202	6.72154	6.651306	6.624336
NM_004756.2	6.888303	6.779667	6.714701	6.813731	6.711026	6.628963	6.640656	6.779279	6.660632	6.886346	6.702623	6.668313
NM_018486.1	6.9728	6.766538	6.974268	6.907958	7.012285	6.97152	6.916627	6.823796	7.005093	7.221508	6.889384	6.832821
NM_153705.2	7.177933	7.27646	7.409311	7.253071	7.521912	7.43575	7.100298	6.977811	7.001848	7.041092	7.129245	7.257235
NM_133336.1	6.716741	6.739156	6.639053	6.736885	6.676058	6.707272	6.636072	6.839571	6.773813	6.731535	6.630232	6.950132
NM_033049.2	6.464783	6.708639	6.552097	6.570723	6.597336	6.635988	6.7405	6.669274	6.587436	6.55008	6.549856	6.58986
NM_004925.3	6.615494	6.686125	6.616967	6.816203	6.564858	6.705604	6.706227	6.905085	6.832046	6.936727	6.720393	6.540172
NM_001014765.1	6.412215	6.486686	6.600524	6.630232	6.390439	6.559837	6.395702	6.439108	6.512595	6.55706	6.540468	6.531161
NM_203468.1	6.503712	6.540669	6.628872	6.307348	6.556106	6.748891	6.362102	6.543364	6.617687	6.661436	6.53613	6.448874
NM_031417.2	6.686661	6.686125	6.655399	6.650775	6.694978	6.737231	6.680249	6.739667	6.507773	6.815277	6.64862	6.574799
XM_946006.1	6.72884	6.605211	6.679889	6.792862	6.529417	6.511015	6.720314	6.576723	6.693892	6.561778	6.594589	6.570827
NM_001904.2	6.888303	7.090296	6.88469	6.502721	6.632209	6.958327	7.054163	7.027864	6.529895	7.064847	7.058227	6.608565
NM_206834.1	6.570676	6.542493	6.598779	6.579387	6.494468	6.511015	6.534843	6.578085	6.596363	6.686407	6.490901	6.642351
NM_001013848.1	7.677149	7.817898	7.772876	7.868362	7.655481	7.798794	7.613052	7.627116	7.707668	7.86072	7.594066	7.74326
NM_152742.1	8.995737	8.343594	9.098673	8.305117	8.186164	9.059997	8.434523	8.519049	8.15988	8.442282	8.434709	8.504624
NM_001012428.1	6.458971	6.498551	6.605313	6.726979	6.459134	6.588271	6.78827	6.564858	6.629996	6.578216	6.642723	6.446869
NM_201428.1	6.693538	6.639497	6.694978	6.693208	6.579307	6.606506	6.649888	6.676915	6.63257	6.654249	6.567702	6.760061
NM_002783.1	6.676738	6.563653	6.655399	6.683538	6.632209	6.639667	6.673584	6.555578	6.60043	6.604678	6.569209	6.417846
NM_025220.2	6.653089	6.603748	6.586262	6.632828	6.653524	6.666556	6.7792	6.678233	6.729095	6.583278	6.771223	6.682977
NM_178585.1	6.551994	6.56951	6.623436	6.557405	6.637344	6.577594	6.501027	6.559837	6.506438	6.548073	6.759488	6.466462
NM_014749.2	7.816959	7.919064	7.845944	7.838911	7.816424	8.003857	7.650265	7.633995	7.672232	7.676999	7.822682	7.679967
NM_015912.2	6.727731	6.656512	6.605313	6.782842	6.590496	6.673145	6.63932	6.629866	6.718942	6.746587	6.578876	6.846169
NM_005990.2	8.483435	8.542986	8.57528	8.076368	8.361102	8.683646	8.592727	8.503511	8.723211	8.607922	8.263774	8.660278
NM_153823.1	6.661872	6.684499	6.682066	6.661962	6.774978	6.616496	6.57948	6.58388	6.686407	6.574994	6.65598	6.615494
NM_001007089.1	6.591811	6.61605	6.486184	6.566384	6.642996	6.534382	6.467104	6.605404	6.435167	6.561778	6.5179	6.46894
NM_138451.1	6.555434	6.547219	6.503014	6.658691	6.504294	6.47642	6.782419	6.540515	6.608802	6.595069	6.47016	6.531161
NM_007212.3	6.670026	6.637792	6.741341	6.572243	6.62869	6.720393	6.593676	6.647829	6.603285	6.645042	6.762291	6.606596
NM_025003.2	6.464783	6.534843	6.416329	6.428948	6.544617	6.628963	6.537672	6.687312	6.332372	6.458971	6.410838	6.56874
NM_201268.1	9.490826	9.32284	9.446526	9.136231	9.431943	9.436434	9.338205	9.344916	9.263011	9.352638	9.193282	9.238266
